gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18,,
aaeA,45.6132,57.7381,35.4817,71.4413,75.5846,59.6099,93.7032,78.2685,75.4577,933,65.8776
aaeB,48.4527,42.2968,41.1391,44.0555,47.6292,51.5953,56.3065,69.1718,58.5695,1968,51024
aaeR,49.0572,53.1486,33.4681,55.6848,43.8708,64.5169,51.3741,77.9266,79043,930,56.4545
aaeX,66.7322,64.9632,64.3814,81.0705,52586,69.0053,64.9201,69.2443,56966,204,65541
aas,73.7846,77.6379,77.63,65.1203,64.7268,77.6184,77.5343,95.9067,93.9019,2160,78.2068
aat,116119,135.65,183998,113028,109508,79.2153,48.9847,53.8376,56.5432,705,99.6538
abgA,43.1262,42.3472,25.9374,24.9753,44.1331,41.9825,40.0243,48.9788,47.5166,1311,39.8913
abgB,52.9248,49887,37.8245,40204,47.7964,43.0902,43.7074,55.8739,47.4726,1446,46.5312
abgR,64.4247,55.9526,65.7116,57.8901,69.0677,74.5122,39.8356,59.9978,58.1246,909,60613
abgT,49.6757,48.1321,34522,33.4765,40.3088,49.9477,40.4558,53.1916,42.0341,1527,43.5271
abrB,51072,47.2778,29.0407,30.6346,33.9294,36.2579,39.7088,45.3439,42.7197,1047,39.5539
accA,117086,140957,203529,127553,137758,90.7462,96394,65959,84.3146,960,118255
accB,516.09,531256,944268,283744,280408,148703,232776,121529,209435,471,363134
accC,696703,800509,1311.11,422586,430275,232823,305915,125995,252.64,1350,508729
accD,116.41,131292,171657,136747,90.5254,101262,78.0496,70.9145,74.8746,915,107.97
aceA,76.2173,66.6948,75.9642,1646.35,1460.26,710353,622329,166296,631636,1305,606233
aceB,343891,269683,359943,9448.9,9868.33,4421.54,4390.55,980386,3999.54,1602,3786.97
aceE,575971,571925,988993,386846,396943,204048,338461,138245,370539,2664,441.33
aceF,211661,203364,336.26,174467,154123,91.1263,174549,83.6734,192735,1893,180218
aceK,58.1442,44.4163,47.9567,267941,268095,175504,189309,102432,172159,1737,147328
ackA,149302,152381,260974,120257,120165,93.1336,81.0338,58.2514,81.0996,1203,124066
acnA,62.6735,63.7649,69.1826,641249,681102,350168,175.66,64.9626,161488,2676,252.25
acnB,306.56,316981,545008,1257.86,1161.44,600691,534124,170019,538538,2598,603469
acpH,78.4958,83.8205,84084,114814,118.45,117567,123715,88.0623,95.1937,582,100467
acpP,18438.4,20257.6,37886.9,22522.7,23115,15339.5,17150,5001.44,12862.3,237,19174.9
acpS,35.2478,37.6037,16.5276,23.2385,21.2326,25.7423,48.8405,45055,35.8215,381,32.1455
acpT,115.76,131.94,169206,133246,114.25,114209,142267,121841,131911,588,130514
acrA,201.17,222525,343406,259396,263203,176558,132892,96.0601,118379,1194,201.51
acrB,90.3276,93.7397,104693,93.8686,95.1885,91.1732,77.9933,75.2501,75.4575,3150,88.6325
acrD,59.6674,62.6635,50.3231,46.2431,49.0198,62.6953,50.1741,65.1049,54.5895,3114,55609
acrE,40.3515,27.6519,25.7909,24.8129,28.0953,38462,37.3502,61894,38.5082,1158,35.8797
acrF,41.7302,32.8991,30.1307,33.4109,36.6449,39391,48.5648,66.2826,47.1753,3105,41.8033
acrR,351179,395.32,698559,695802,703175,612009,346408,163873,297575,648,473767
acrS,70.2932,72.8237,116958,57.4486,64.9865,58.3021,131989,81.7037,72.1501,663,80.7395
acrZ,1142.22,1716.86,3396.8,2739.69,2676.61,2308.49,2681.71,1438.99,2230.52,150,2259.1
acs,74.9381,70.9038,72.0946,877483,846.9,548658,903844,249382,787526,1959,492414
actP,66.5246,56.9608,52.9932,132024,138131,97.7634,125.02,91.8087,120551,1650,97.9752
acuI,48.2396,44.1566,49.8226,64.2517,63.4905,60.7108,63.8758,56.7868,64.5846,975,57.3243
ada,57.5789,47.0169,68.4184,68.8609,77.1149,83858,64.1446,59.4848,76.7632,1065,67.0267
add,65.0547,63.6995,100.91,129209,106535,99.3793,50.5267,58.8424,75.9256,1002,83.3425
ade,96.6846,97.1351,91.4339,69.3933,74.1465,93.7062,129123,143062,129.24,1767,102658
adhE,1041.5,1085.61,1726.54,1085.35,1095.91,601464,257727,88.6595,257179,2676,804439
adhP,52648,44.2848,46.9808,106908,109761,89.5925,61.1038,67.9775,76.7199,1011,72.8863
adiA,88.0889,93.5868,73.1401,83.6008,78.2382,94.4761,100341,118094,112965,2268,93.6146
adiC,67.5087,69.6007,64678,53.5623,60.3292,75.5442,56695,98.9874,90.4897,1338,70.8217
adiY,96.9717,108581,103888,349236,375033,312693,103181,108608,83.5244,762,182413
adk,282174,307753,390513,370628,305099,246872,155556,105265,161735,645,258.4
aegA,50.4199,50.6511,30.2585,45.8134,44.0542,58.8002,53.2559,59.4005,54.9387,1980,49.7325
aer,78.2545,83.5979,55.2402,68.3155,71.5702,85.3446,89.5522,106682,103945,1521,82.5002
aes,73.8413,69.4712,73.8402,56.9029,72.3597,86.5395,68279,73.9879,71.9278,960,71.9055
afuC,54.1761,52.8198,33.3367,40527,37.7926,54.4419,51.0771,70.7143,57691,1047,50.2863
agaB,69.8063,92.3598,71.2871,44.4778,48.6661,64.1033,84.6995,107.19,61.1903,477,71.5311
agaC,66813,60.4087,64671,41.7636,45.7152,53.8181,74.5422,94.9515,81178,804,64.8735
agaD,68.2899,57.1634,54.9741,52.7318,46.63,69.2024,86.7842,94.7229,78825,792,67.7026
agaI,73.9752,71.3509,52.1183,52.5912,45.8264,68.0716,84.3752,103133,92.5881,756,71.5589
agaR,86.0773,84105,86.4037,106007,101609,105557,126249,118094,123451,810,104173
agaS,67.2679,62.3939,52.8063,50.7672,54.6617,50.1504,70.7578,90902,80.6092,1155,64.4796
agaV,65.2026,75.1111,33.7815,46169,59.3625,76.6805,85.9429,92.9025,67.8494,474,67.0002
agp,145898,156017,211929,461.35,413742,281404,193085,78.3533,129036,1242,230.09
agrA,89.7922,66.5183,94.2413,27.8424,33.4974,86.5395,59872,130876,72.3903,84,73.5077
agrB,78842,64.8127,89.9576,35.7974,75.3692,30.2201,59872,123199,109.39,84,74.1622
ahpC,3931.86,4036.08,6213.77,6817.24,6381.53,2983.67,3791.85,671718,2310.36,564,4126.45
ahpF,230171,231693,300433,387.02,325557,234235,238884,105361,179999,1566,248.15
ahr,62.4638,55763,55.3856,65.5115,73.6205,70.4759,81.1912,93.2691,87.8336,1020,71.7238
aidB,65.3568,60.9736,49.4601,80445,69.5443,95.3034,77.4286,105723,94.9058,1626,77.6823
ais,41898,28.2739,43.2632,32.6906,35289,44.7766,56.0196,59838,44.3706,603,42.9355
alaA,88.2567,101513,107388,113838,91.8292,87.3447,68.8184,64.9716,70116,1218,88.2306
alaC,64.4891,60.6499,73.1858,57.3027,52943,46.0054,58.7896,60.9954,64347,1239,59.8564
alaE,59.8226,59.2184,67.9679,95.7778,80.8963,77.6932,49.1749,62645,63.06,450,68.4729
alaS,223.68,230343,392996,197976,198655,138674,142505,93.0705,136053,2631,194884
alaT,807669,891669,1351.73,1329.84,1073.68,642214,856958,327.69,476506,76,861995
alaU,0,0,0,0,0,0,0,0,0,76,0
alaV,0,0,0,0,0,0,0,0,0,76,0
alaW,696322,1090.55,1919.88,1439.74,1293.51,830475,1099.6,554771,926342,76,1094.58
alaX,0,0,0,0,0,0,0,0,0,76,0
aldA,169273,176849,309854,873091,808963,534622,699671,179345,388682,1440,460039
aldB,107462,103799,86.7427,95.9559,94.8441,121909,150485,154.38,140133,1539,117301
alkA,44.2035,43.1161,30.3037,41.7144,46.3993,47.0242,46.6988,62.5741,51.7277,849,45.9735
alkB,47.0979,47.2066,44.7715,55.4282,56.9997,59.3768,50.9878,60.0487,55.0063,651,52.9915
allA,60.6867,67779,78224,108948,130713,95.5577,71.6729,81.5075,77.2164,483,85.8117
allB,63.7978,72.6344,51.1213,59.1191,59.5244,79.1266,61.5425,81.19,65084,1362,65.9044
allC,88.0629,95.5715,68.2688,58.2528,76975,82992,58.1863,75.8019,80.9023,1236,76.1126
allD,62.8984,69.9295,46.6066,56.4803,45054,71.7591,64582,75.8935,72.4547,1050,62.8509
allE,71.7758,83.5743,66.3809,55.2597,46.5384,81328,58.5466,78.3337,53.8108,786,66172
allR,86271,78.1315,74.3032,100.11,88.1463,91.3472,63.7901,66.9864,80.9778,816,81.1181
allS,69.3919,77.3536,61.5244,74787,69.8134,93.6033,68.7204,79.5038,66.3253,927,73447
alpA,40.3052,35.9857,14.3594,20.3916,11559,33.0448,28.7273,43.2512,41.2364,213,29.8734
alr,84.9984,75.6812,83.9604,68.5232,70.8331,81.9454,87.5462,83.7371,94.2147,1080,81.2711
alsA,88.6822,77.8501,61028,53.1784,54.8348,72.8595,84.5863,113759,87.5295,1533,77.1453
alsB,88.1825,85.9469,81.6922,61396,49.9777,73.1024,87.1343,112958,105.1,936,82.8322
alsC,76.3862,65.6473,60.8887,41.5507,60.2339,86.6865,66.1339,101078,84.9892,981,71.5105
alsE,72599,75.0316,74.9646,48.2441,51.0403,69961,72.7411,103994,111831,696,75.6007
alsK,59739,64.7797,51.4596,56044,61.2679,64.3928,68.4987,90.5071,68872,930,65.0623
alsR,96972,92.2172,80.5681,72559,58.8179,94.1477,99.4373,119766,111015,891,91.7222
alx,75.8584,78.9025,72264,45.8275,48.9718,65.2182,79.9161,106367,96.6603,966,74.4428
amiA,104176,109841,125527,107721,98.0378,97.6139,81.2195,73.7353,71292,870,96.5737
amiB,91.2032,86.4119,93.1847,102.38,112509,106676,107689,109568,117758,1338,103042
amiC,76.5297,74.7199,62.1238,68.3404,76.8518,89.2539,83.9545,95.2106,97.6288,1254,80.5126
amiD,51.8761,55.9461,51.3115,104535,99676,57.9013,67.1777,53.3608,73337,831,68.3468
amn,134359,133177,183872,229398,187344,141715,111473,79.4196,108474,1455,145.47
ampC,118047,112254,131208,101058,131353,121695,100008,107913,96.5204,1134,113339
ampD,84.5393,112903,144714,166146,140498,128764,140916,82.9459,86.6586,552,120898
ampE,49.0572,41.2216,45.8731,39.4678,56358,52.4972,45.0966,68.9232,60.3733,855,50.9853
ampG,95.4721,101871,118481,95.6375,73.7522,89.2756,66.7841,80495,93.0154,1476,90.5315
ampH,72.3361,79.9864,114661,71.4092,54672,80.81,82.4455,86.6888,75.1493,1158,79.7954
amtB,54.3651,51.8756,45.1535,76.8424,67.7757,82.3929,57.7693,69.6008,66.4619,1287,63.5819
amyA,67.0498,60.2736,50.4198,268993,258001,168116,97.5656,65668,94.2631,1488,125595
anmK,64.4152,55.6947,65.9689,57.0393,71.1368,71.2067,67.8873,51.5402,53321,1110,62.0233
ansA,166177,185744,271.73,168533,184853,134901,90.9089,58.4274,98.7223,1017,151111
ansB,71.1611,83.4717,57.3941,40.3675,51.7339,65.7931,97.7509,108.11,111252,1047,76.3371
ansP,49.7522,44366,40.6608,40984,41.7378,67.3085,50069,64.6104,62.5195,1500,51.3342
apaG,311799,379969,586866,698711,675997,395304,319096,121.29,273832,378,418096
apaH,81.1074,94.5788,109486,119494,102847,90.2009,81.5339,79.6669,94.0931,843,94.7786
apbE,59.6375,64.7837,56.3939,61.3798,50.2937,68.5104,53.1024,64.7027,61.2941,1056,60.0109
aphA,114226,97.4198,122211,102245,94581,99.0639,151558,102017,116582,714,111.1
appA,42.9581,52.2236,48753,42.9532,38.5839,51253,50.5248,53.19,44.9389,1299,47.2643
appY,52.1642,63.9941,60.6914,43.8796,55.8067,70.9239,52.5277,72.3079,45.7636,750,57.5621
apt,154637,144828,185456,128014,120108,86.9575,82.3023,85.1712,98.1641,552,120626
aqpZ,48.5462,50.4328,36.7068,38.6433,34.6164,33.1569,33.1189,51.8424,43.6838,696,41.1942
araA,49.0817,54.0957,57.4579,48.6825,53.3552,52511,55.8806,75.0036,75.2513,1503,57.9244
araB,56.7431,55632,29933,44.98,38.0465,44.7027,57.8516,72.8624,63.1554,1701,51.5452
araC,95.7146,110101,111961,108709,104236,70098,156294,85.4873,99617,879,104691
araD,44.5815,42.8164,45.4958,39.6034,42702,49238,51.6654,73.1971,64.0696,696,50.3743
araE,76.4034,70.2721,57.8163,61.6889,54.7786,69.3617,73.7789,102469,84.2768,1419,72.3162
araF,41.3765,49.0592,30.5311,44.3791,31.0866,46.3875,49.8692,59.2144,60.3302,990,45.8037
araG,57.5168,54.5656,58.5466,60.8673,56.0667,63.1386,51399,57302,52.9811,1515,56.9315
araH,59.0849,53.9259,45.5712,53823,66.8167,68.9744,55.9655,63.7191,70.3709,987,59.8057
araJ,78.5019,84.5113,57087,63.1564,57.2849,85.2006,73.0691,90337,82.4456,1185,74.6215
arcA,264358,329602,513398,890491,870478,574355,543959,199454,358081,717,504908
arcB,94.4357,93.2759,125948,115.73,116639,104326,100069,86.6194,86.9056,2337,102661
arcZ,53.2129,75.1873,77.3189,82.8369,72.6701,71.5202,89.3627,54.0569,52488,121,69.8504
arfA,73.0818,120046,120765,193753,153377,158.59,217781,133.63,157342,219,147596
arfB,44.2153,44.8778,67.2023,77.4058,76.9134,68.4678,71.1387,51.5436,52.3903,423,61.5728
argA,69378,75.1308,54.7039,50.5427,59.6767,75.8845,77.9055,103814,92.3176,1332,73.2615
argB,40.7232,31.3461,37.5113,47.2998,43.2298,43.9566,55.5569,64.4204,63.4774,777,47.5024
